Date (GMT+1),Hydro Run of River,Fossil gas,Hydro water reservoir,Others,Wind onshore,Load
,Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW)
2019-01-01T00:00+01:00,1030.4,337.3,8771.7,307.8,961,15723.7
2019-01-01T01:00+01:00,1030,337.5,9571.7,296.4,950.6,15622.9
2019-01-01T02:00+01:00,1031.6,339.9,9665.4,306.5,965.1,15705.3
2019-01-01T03:00+01:00,1029.1,340.6,9193.4,330.2,944.4,15643.1
2019-01-01T04:00+01:00,1024.4,338.9,8967.4,263.6,898.4,15611.9
2019-01-01T05:00+01:00,1023,339,9122,182.8,870,15727.8
2019-01-01T06:00+01:00,1016.1,337.7,9601.9,171.4,878,16040.5
2019-01-01T07:00+01:00,1016.9,339.7,10351.8,208,894.7,16324.8
2019-01-01T08:00+01:00,1005.9,341.3,9759.2,380.5,962.9,16654.7
2019-01-01T09:00+01:00,998.6,339.3,9967.1,360.6,978.4,16934.9
2019-01-01T10:00+01:00,997.3,340.4,10715.7,376,977.5,17368.8
2019-01-01T11:00+01:00,1000.8,341.7,11037.5,397,1038.2,17611.4
2019-01-01T12:00+01:00,993,342.2,11014.4,380.3,1017.5,17736.6
2019-01-01T13:00+01:00,999.3,342.5,11018.6,290.1,973.4,17689.1
2019-01-01T14:00+01:00,1003.4,339.7,10971,293.7,1027.3,18081.8
2019-01-01T15:00+01:00,1008.6,341.7,11642.7,290.8,1041.4,18479.5
2019-01-01T16:00+01:00,1009.7,347.1,12261,275,1051.5,18652.5
2019-01-01T17:00+01:00,1008.2,342.8,12382.4,253.4,1043.5,18628.9
2019-01-01T18:00+01:00,1003.2,348.2,11854.1,250,1048.5,18491.9
2019-01-01T19:00+01:00,993,344.9,11242.8,257.3,1031.5,18191.5
2019-01-01T20:00+01:00,985.2,321.1,11200,262.5,1023.3,18034.8
2019-01-01T21:00+01:00,984.5,244.6,11045,259,986.9,17630.8
2019-01-01T22:00+01:00,982.2,244.3,10998.5,224.6,942.3,17235.7
2019-01-01T23:00+01:00,977.8,245.9,10633.2,233.5,913.8,16736.8
2019-01-02T00:00+01:00,1011.9,250,10644.5,208.4,894.4,16373.2
2019-01-02T01:00+01:00,1005.6,249,10019.3,211.3,847.6,16128.6
2019-01-02T02:00+01:00,1008.4,249.1,9890.6,178,775.5,16014.8
2019-01-02T03:00+01:00,1006.7,251.2,9640.7,212.9,745.7,16147.9
2019-01-02T04:00+01:00,1005.7,251.5,10049.9,199.5,640.2,16316.5
2019-01-02T05:00+01:00,1003.1,250.8,10490.8,190.7,614.3,16812
2019-01-02T06:00+01:00,1002.8,249.4,11498.3,251.1,648.4,18057.5
2019-01-02T07:00+01:00,1007.5,245.5,13025,248.3,615.7,19556.4
2019-01-02T08:00+01:00,1009.3,262.1,14152.9,245.2,596.7,20443.3
2019-01-02T09:00+01:00,1000.5,262.4,14550.1,165.6,484.5,20271.8
2019-01-02T10:00+01:00,992.1,262.8,14738.9,144.3,471.4,20195.5
2019-01-02T11:00+01:00,990.1,257.3,14218,182.2,464.6,19971.7
2019-01-02T12:00+01:00,1016.2,270.9,13449.9,268.8,483.9,19840.2
2019-01-02T13:00+01:00,1018.2,254.5,14008.1,267,520.9,19777.5
2019-01-02T14:00+01:00,1011.1,266.6,15416.8,232.7,521.1,20074.8
2019-01-02T15:00+01:00,1006.5,278.8,18020.3,205.8,539.9,20721.8
2019-01-02T16:00+01:00,1004.8,271.8,19025.6,266.6,533.3,20990.4
2019-01-02T17:00+01:00,1015.4,279.2,20344.8,155.2,500.7,20786.8
2019-01-02T18:00+01:00,1014.1,291.5,20218.1,144.8,459.1,20452.2
2019-01-02T19:00+01:00,1011.9,290.6,19533.6,162,460.4,20271.7
2019-01-02T20:00+01:00,1010.6,306.7,19148.1,110.7,376.1,19873
2019-01-02T21:00+01:00,1001.5,306.5,18382.4,101.8,348.4,19401.6
2019-01-02T22:00+01:00,998.5,305.5,17333.7,101.5,338.4,18743.8
2019-01-02T23:00+01:00,993.7,304.4,14533.1,83.7,328,17694.1
2019-01-03T00:00+01:00,988.8,306.9,13524.9,116.2,314.2,17310.9
2019-01-03T01:00+01:00,986.5,309.6,12142.7,142.1,409.1,16976.4
2019-01-03T02:00+01:00,983,307.1,11334.8,107.5,359.3,16761.9
2019-01-03T03:00+01:00,981.5,307.4,11485.5,119.9,477.7,16782.8
2019-01-03T04:00+01:00,980.7,299.7,12078.5,196.6,468.2,17034.8
2019-01-03T05:00+01:00,979.7,312.5,13288,307.4,535.7,17539.9
2019-01-03T06:00+01:00,979.8,307,16201.6,309.3,569.4,18872.7
2019-01-03T07:00+01:00,985.5,308.6,20121.3,305.6,528.4,20395.2
2019-01-03T08:00+01:00,983.4,308.6,21925.9,214,524.9,20637.6
2019-01-03T09:00+01:00,979.1,300.7,21836,228.5,573.7,20547.8
2019-01-03T10:00+01:00,975.5,304.2,21446,228.9,581.4,20457.3
2019-01-03T11:00+01:00,983.1,311.5,22013,225.3,642.3,20412.7
2019-01-03T12:00+01:00,982.1,316.9,21938.8,219.5,643.9,20237.9
2019-01-03T13:00+01:00,983.2,318.1,21613.4,226.1,692.2,20074.5
2019-01-03T14:00+01:00,982.4,318.9,21317.8,283,720.2,20073.2
2019-01-03T15:00+01:00,982.7,318.4,21359.5,251.1,718.1,20056.6
2019-01-03T16:00+01:00,980.1,313.2,21621.8,250.5,694,20304.2
2019-01-03T17:00+01:00,979.1,311.3,21693.3,304.2,699.6,20225.8
2019-01-03T18:00+01:00,978.4,317.2,21592.3,305.2,704.2,20018.6
2019-01-03T19:00+01:00,978.2,316.1,21392.6,305.6,687.6,19717.2
2019-01-03T20:00+01:00,978.1,315.6,20514.7,263.8,684.5,19285.7
2019-01-03T21:00+01:00,977.5,314.9,19314.8,257.2,691.8,18790.2
2019-01-03T22:00+01:00,971.4,331.2,17402.5,243.8,706,18178.5
2019-01-03T23:00+01:00,970.1,331.9,13929.4,266.9,729.6,17296.5
2019-01-04T00:00+01:00,956.4,328.9,13102,304.6,744.5,16874.2
2019-01-04T01:00+01:00,955.4,326.3,11394.6,242.2,722.6,16338
2019-01-04T02:00+01:00,957,329,10431.9,330.7,757.9,16198.5
2019-01-04T03:00+01:00,957.9,327.4,10498.2,308.9,737.8,16161.9
2019-01-04T04:00+01:00,959.3,325.1,10365.4,320.2,773.1,16257.9
2019-01-04T05:00+01:00,964.4,325.7,11212.9,321.6,773.8,16752.6
2019-01-04T06:00+01:00,970.6,327.8,14765.1,322.4,776.4,18154.4
2019-01-04T07:00+01:00,975.9,316.8,18057.3,293,724.6,19408.2
2019-01-04T08:00+01:00,985,327.2,19923.9,279.8,696.2,19856.4
2019-01-04T09:00+01:00,982.7,327.5,19751.2,186.6,646.5,19524
2019-01-04T10:00+01:00,984.6,326.2,19557.3,152.9,628.2,19327.3
2019-01-04T11:00+01:00,988.2,314.4,18622.7,209.4,657.1,19124.2
2019-01-04T12:00+01:00,992.7,322.2,17304,199.1,654,18964.6
2019-01-04T13:00+01:00,994.7,301.2,16641.9,156.6,582.7,18639.4
2019-01-04T14:00+01:00,985.7,296.2,15558.4,157,582.2,18492.6
2019-01-04T15:00+01:00,983.7,214.8,16579.5,193.8,641.9,18806
2019-01-04T16:00+01:00,991.8,217.1,17977.1,132.1,611.9,18600.3
2019-01-04T17:00+01:00,999.9,214.2,18339.7,159.7,617.2,18427.1
2019-01-04T18:00+01:00,1003.7,213.7,18071.1,143.9,587,18471.8
2019-01-04T19:00+01:00,1009.1,216.8,16756.7,131.2,575.9,18151.4
2019-01-04T20:00+01:00,1011.5,216.6,14481.4,97,595.8,17602.2
2019-01-04T21:00+01:00,1009.5,215.6,13303.3,78,546.1,16991.4
2019-01-04T22:00+01:00,1012.4,214.8,12798.3,98.2,611.6,16628.9
2019-01-04T23:00+01:00,1010.4,218.3,11478.4,64.5,517.5,15921.1
2019-01-05T00:00+01:00,1011.3,224.8,11346.8,92.7,536.3,15598.1
2019-01-05T01:00+01:00,1008.2,221.6,10303.3,95.4,520.3,15218.8
2019-01-05T02:00+01:00,1007.2,231.2,9619.6,95.3,498.6,14958.6
2019-01-05T03:00+01:00,1003.4,231.7,9400.3,97.5,478.1,14860.2
2019-01-05T04:00+01:00,1007.5,222.7,9653.9,100.8,460.6,14929.4
2019-01-05T05:00+01:00,1013.2,221.7,10320.8,103.3,436.1,15157.4
2019-01-05T06:00+01:00,1013,223.6,11098.7,103.5,423.6,15486.9
2019-01-05T07:00+01:00,1010.5,218.8,11972.4,102,400.7,15873.2
2019-01-05T08:00+01:00,1007.5,220.7,14095.6,103.5,363.6,16632.5
2019-01-05T09:00+01:00,1009.4,219.8,15997.2,104.8,321.7,17164.6
2019-01-05T10:00+01:00,1006.6,221.1,16712.1,100.5,275.8,17359.7
2019-01-05T11:00+01:00,1010,222.3,17483.2,91.8,252.8,17788.7
2019-01-05T12:00+01:00,1009.5,223,18285.3,86,253.3,17800.2
2019-01-05T13:00+01:00,1008.2,219.5,18089.5,82.2,251.7,17495.8
2019-01-05T14:00+01:00,1006.6,224.9,18457.5,71.7,218.1,17409.4
2019-01-05T15:00+01:00,1005.6,228.2,19843.6,68.8,242.9,17751.7
2019-01-05T16:00+01:00,1004.4,235.4,21438.9,72,243.2,18254.2
2019-01-05T17:00+01:00,1002.9,232,21916.3,60.5,246.9,18428.6
2019-01-05T18:00+01:00,999.5,233.3,21636.5,58.8,293.3,18382.9
2019-01-05T19:00+01:00,997.7,229.2,20745.5,58.2,319.8,17811.7
2019-01-05T20:00+01:00,995.1,221.1,19111.8,78.3,264.7,17361.2
2019-01-05T21:00+01:00,993.4,223.5,17998,83.2,295.2,16910.9
2019-01-05T22:00+01:00,993,228.3,16114.3,83.1,312.4,16407.3
2019-01-05T23:00+01:00,993.2,226.2,14476.9,100.9,339.8,16174.3
2019-01-06T00:00+01:00,1001.8,227,13429.8,116.5,376,15714.3
2019-01-06T01:00+01:00,998,229.8,12342.2,151.7,427.5,15552.9
2019-01-06T02:00+01:00,997.8,219.9,11918.6,114.2,405.5,15289.4
2019-01-06T03:00+01:00,996.3,225.9,11645.2,106.2,398.2,15153.5
2019-01-06T04:00+01:00,995.5,226.7,11139.6,100.4,409,15151.6
2019-01-06T05:00+01:00,997.8,226.8,11533.4,127.1,505.2,15370.2
2019-01-06T06:00+01:00,998.8,224.7,12046.9,114.5,492.1,15548.9
2019-01-06T07:00+01:00,1000.2,225.4,12920.9,115.5,491.7,15783.8
2019-01-06T08:00+01:00,1000.8,226.5,14705.1,115.5,530.9,16301
2019-01-06T09:00+01:00,1002.7,225.4,17960.2,140.5,562.4,16915.8
2019-01-06T10:00+01:00,1004.1,225.9,18885.2,156.7,593,17176.1
2019-01-06T11:00+01:00,1005.1,227.2,19054,187.3,622.4,17499.3
2019-01-06T12:00+01:00,1004.6,226.2,18737.7,199.7,612.6,17382.7
2019-01-06T13:00+01:00,1003.4,222.9,18711.2,191.8,615.1,17499.8
2019-01-06T14:00+01:00,1000.7,215.6,18209.1,152,568.8,17539.9
2019-01-06T15:00+01:00,999.6,210.2,18524.6,119.1,521.8,17834.9
2019-01-06T16:00+01:00,999,204.1,19929.1,112,476.8,18247.6
2019-01-06T17:00+01:00,979,198.7,20456.6,145.9,465.3,18103.8
2019-01-06T18:00+01:00,978.7,205.8,20313.1,119.4,473.5,18015.2
2019-01-06T19:00+01:00,996.6,199.7,19610.8,121.8,474.1,18111.6
2019-01-06T20:00+01:00,998.6,197.5,18805.4,123.2,414.4,17890.1
2019-01-06T21:00+01:00,998,198.5,17680.6,127,427.8,17513.6
2019-01-06T22:00+01:00,999.1,196.3,15733.8,127.1,444.3,16902.4
2019-01-06T23:00+01:00,996.2,197.2,14190.5,132.8,461.2,16311.3
2019-01-07T00:00+01:00,1008.3,196.9,12141,193.4,542.8,16113.7
2019-01-07T01:00+01:00,1002.1,195.5,11276.7,226.3,572.4,15987.3
2019-01-07T02:00+01:00,989.9,196.8,10893.3,160.1,433.2,15539.3
2019-01-07T03:00+01:00,1004.1,195.2,10145,244.8,500.2,15769.1
2019-01-07T04:00+01:00,986.7,194.5,11160.6,188.2,488.1,16044.4
2019-01-07T05:00+01:00,987.4,192.9,14210.7,267,541.7,16870.2
2019-01-07T06:00+01:00,993.2,194.1,19368,190.2,419.3,18058.8
2019-01-07T07:00+01:00,1001.6,196.8,21652,187.7,407.3,19805.7
2019-01-07T08:00+01:00,1021.8,197.3,22397,178.6,415.9,20264.9
2019-01-07T09:00+01:00,1025.2,197.4,22420.2,170.8,394.1,20219.6
2019-01-07T10:00+01:00,1014.1,192.2,22324.5,106.9,405.7,20039
2019-01-07T11:00+01:00,1022.1,189.9,21613.3,112,475.4,20006.6
2019-01-07T12:00+01:00,1021.4,190.8,21355.6,107.6,587.8,20050.1
2019-01-07T13:00+01:00,1020,189.8,20818.9,99.4,652.5,20089
2019-01-07T14:00+01:00,1021.1,191.7,20744.3,110.5,678.4,20158.3
2019-01-07T15:00+01:00,1021.8,155.7,20427.9,126.6,729.5,20272.2
2019-01-07T16:00+01:00,1021.3,157.5,20253.5,122.5,709.2,20413.2
2019-01-07T17:00+01:00,1023,155.9,19797.4,217.2,689.3,20364.4
2019-01-07T18:00+01:00,1022,156.7,18146.6,235.6,694.8,19904.2
2019-01-07T19:00+01:00,1039.7,156,16995.5,203.4,613.3,19559.2
2019-01-07T20:00+01:00,1025.9,157.6,15655.5,173.1,545.7,19139.3
2019-01-07T21:00+01:00,1024.1,156.7,14476.8,176,477,18605
2019-01-07T22:00+01:00,1024.9,159,13098.2,152.7,459.7,18141
2019-01-07T23:00+01:00,1028.3,158.2,11161.1,200.6,521.3,17598
2019-01-08T00:00+01:00,1073.7,157.6,10519.9,170.9,518.1,16894.6
2019-01-08T01:00+01:00,1068.6,163,9958.9,127.2,580.9,16476.4
2019-01-08T02:00+01:00,1070.2,161.3,9435.7,158.8,707.2,16255.6
2019-01-08T03:00+01:00,1065.8,158.1,9662.8,180.3,762.8,16305.8
2019-01-08T04:00+01:00,1063.7,159.6,10314.6,282.5,805.1,16559.5
2019-01-08T05:00+01:00,1062.5,161.9,11759.6,208,809,16874.5
2019-01-08T06:00+01:00,1061.7,158.3,15142,228,747.2,18303.2
2019-01-08T07:00+01:00,1060.2,162.5,17070.6,172.1,737.9,19795
2019-01-08T08:00+01:00,1047.7,159.7,17913.2,257.3,734,20713.3
2019-01-08T09:00+01:00,1045.3,159,17722.5,197.7,653.6,20416.1
2019-01-08T10:00+01:00,1040,160.8,17560.7,184.2,604.5,20275.6
2019-01-08T11:00+01:00,1041.1,160.3,16762.9,181.8,593.8,20041.1
2019-01-08T12:00+01:00,1045,162.5,15338.5,203.6,610.5,19467.8
2019-01-08T13:00+01:00,1043.2,192.7,15306.2,203.9,629.6,19749.2
2019-01-08T14:00+01:00,1042.2,192.2,15796.6,173.4,607.1,19892.5
2019-01-08T15:00+01:00,1038.4,192.2,15668.3,230.7,660.9,19597.8
2019-01-08T16:00+01:00,1041.2,174,16738.8,190.2,722.3,20289.2
2019-01-08T17:00+01:00,1040,193.6,16749,193.6,705.5,20281.5
2019-01-08T18:00+01:00,1037.4,193.9,15889.3,176,635.9,19785.3
2019-01-08T19:00+01:00,1037.7,189.1,15026.1,189,662.1,19616.5
2019-01-08T20:00+01:00,1033.1,191.6,14411.8,209.2,617.1,19391.9
2019-01-08T21:00+01:00,1027.3,193.7,14151.5,204.6,608.2,19073.4
2019-01-08T22:00+01:00,1022.1,195.1,12787.3,201.1,609.3,18328.4
2019-01-08T23:00+01:00,1020.9,186.2,11372.3,243.1,575,17502.9
2019-01-09T00:00+01:00,998.7,194.2,9995.9,339.3,682.1,17087.5
2019-01-09T01:00+01:00,997.8,192.7,9403.5,366.9,607,16689.9
2019-01-09T02:00+01:00,996.4,193.3,9171.4,353.5,581.4,16602.3
2019-01-09T03:00+01:00,995.3,190.3,9113.9,204.2,468.1,16278.1
2019-01-09T04:00+01:00,992.8,195.9,9445.5,239.4,479.1,16569.9
2019-01-09T05:00+01:00,992,196.2,11614,178.4,450.9,17115.2
2019-01-09T06:00+01:00,990.5,194.6,14338,193,418.2,18571.2
2019-01-09T07:00+01:00,993.3,194.2,16692.7,230.5,325.4,20173.1
2019-01-09T08:00+01:00,990.9,195.4,17415.5,229.5,278.1,20533.4
2019-01-09T09:00+01:00,981.2,194.1,17058.2,191.3,275.7,20414.5
2019-01-09T10:00+01:00,981.6,194.9,17330,190.4,257.7,20188.8
2019-01-09T11:00+01:00,979.8,193.3,17076.3,126.1,161.9,19803.7
2019-01-09T12:00+01:00,980.2,191.6,16471,108.3,172.4,19644.8
2019-01-09T13:00+01:00,982.7,190.2,16723.1,134,255.3,19678.3
2019-01-09T14:00+01:00,984,191,17277.7,115.4,237.8,19808.9
2019-01-09T15:00+01:00,983.9,190.9,18650.5,111.9,214.2,20147.5
2019-01-09T16:00+01:00,982.3,189,20120.9,129.5,269,20646.2
2019-01-09T17:00+01:00,978.6,193.6,20796,143.8,248.2,20507.1
2019-01-09T18:00+01:00,977.3,191.1,20482.1,124.7,252.9,20185.9
2019-01-09T19:00+01:00,978.1,192.8,20011,136.8,243.2,19835.1
2019-01-09T20:00+01:00,977.1,194,19111.6,113.6,204.8,19591.8
2019-01-09T21:00+01:00,975.9,193.1,18852.8,141,306.2,19430.8
2019-01-09T22:00+01:00,974.3,190.1,17852.9,158,341,18710.4
2019-01-09T23:00+01:00,970.3,168.3,15789.4,206.2,361.8,17961.3
2019-01-10T00:00+01:00,942.7,191.6,15150.3,229.5,385.6,17446.4
2019-01-10T01:00+01:00,942.3,184.8,14863.9,254.4,390.2,17137.8
2019-01-10T02:00+01:00,941.4,189.1,14277.1,256,417.6,16957.2
2019-01-10T03:00+01:00,939.3,192.1,14559.7,278.7,429.6,16959
2019-01-10T04:00+01:00,937.6,186.5,14710.5,275.1,475.1,17106.1
2019-01-10T05:00+01:00,937.7,187.9,16763.6,293.3,537.4,17381.3
2019-01-10T06:00+01:00,937.6,189.2,20949.8,326.4,539.2,18763.4
2019-01-10T07:00+01:00,938.6,194.7,22424.4,307.9,560.1,20279.6
2019-01-10T08:00+01:00,940.8,190.8,22264.1,320.1,555,20616.3
2019-01-10T09:00+01:00,935.8,185.7,22344.5,327.3,526.2,20401.8
2019-01-10T10:00+01:00,932.4,193.2,22459.4,323.8,545.1,20324
2019-01-10T11:00+01:00,938.4,189.8,22611,313,562.7,20243.5
2019-01-10T12:00+01:00,938,189.6,22627.6,314.1,523.1,20015.7
2019-01-10T13:00+01:00,934.8,188.6,22191.9,316.9,557.1,19901.2
2019-01-10T14:00+01:00,931.9,186.7,21891,332.5,621.3,19840.5
2019-01-10T15:00+01:00,935.3,194.1,21961.8,332.9,643.9,19875.8
2019-01-10T16:00+01:00,937,199.7,22072.2,340.6,695.7,20225
2019-01-10T17:00+01:00,939,198.9,22177.1,362.1,746.5,20175
2019-01-10T18:00+01:00,940.7,232,21285,334.4,786.6,19839
2019-01-10T19:00+01:00,942.9,232.5,20235.8,347.3,824.6,19498.4
2019-01-10T20:00+01:00,948.3,261.1,18619.2,342.2,841.2,19021.1
2019-01-10T21:00+01:00,951.4,265.1,16979.5,331.6,848.7,18556.1
2019-01-10T22:00+01:00,950.8,271.1,14917.2,326.1,870.3,17767.6
2019-01-10T23:00+01:00,952.7,263.3,12786,299.5,886.2,16873.4
2019-01-11T00:00+01:00,938.4,272.4,11526.8,344.9,917,16479.1
2019-01-11T01:00+01:00,937,271.8,9908.4,332.5,966.4,16060.7
2019-01-11T02:00+01:00,941.4,271.2,9582.5,343.4,987.2,15895.4
2019-01-11T03:00+01:00,941.9,271.9,9977.5,346.6,938.1,15867.6
2019-01-11T04:00+01:00,940,266.7,9814.7,314.2,971.9,16040
2019-01-11T05:00+01:00,941.8,266.5,11046.3,307,864.2,16509.5
2019-01-11T06:00+01:00,941.8,269.5,14650.5,297.9,922.6,18077.2
2019-01-11T07:00+01:00,941.9,268.8,17998.3,286.4,852.9,19684
2019-01-11T08:00+01:00,942.8,269.7,19259,329.9,860.9,20339.6
2019-01-11T09:00+01:00,934.5,269,18879.9,365.6,843.4,20082.6
2019-01-11T10:00+01:00,934.1,279.7,18938.6,378.8,835.1,20364.9
2019-01-11T11:00+01:00,927.9,293.2,18403.2,379.5,865.9,19939.4
2019-01-11T12:00+01:00,924.6,292.4,17555.2,381.9,871.9,19790.8
2019-01-11T13:00+01:00,927.3,292.1,15751.8,359.7,841.9,19158.7
2019-01-11T14:00+01:00,918.3,291.7,15180.4,354.3,833.3,19366.8
2019-01-11T15:00+01:00,916.6,295.4,15253.9,343.4,845.9,19499.4
2019-01-11T16:00+01:00,911.8,292.1,15636.3,331.7,788.4,19955.3
2019-01-11T17:00+01:00,907.5,293.6,17057,385.8,754.3,20030.1
2019-01-11T18:00+01:00,911.2,301,16036.1,372.7,686.1,19789.1
2019-01-11T19:00+01:00,907.6,296.4,15250.4,357.6,646.3,19612.1
2019-01-11T20:00+01:00,905.9,294.7,14225.5,306.1,559.6,19056.3
2019-01-11T21:00+01:00,903.3,303.7,13341.9,377.6,570.3,18559
2019-01-11T22:00+01:00,896,287.4,12084.5,228.2,475.2,17775.2
2019-01-11T23:00+01:00,890.9,280.4,10716.9,361.6,549.1,17533.9
2019-01-12T00:00+01:00,938,280.4,11374.1,333,477.9,17036.6
2019-01-12T01:00+01:00,935.1,281.9,11106.6,331.7,425.9,16795.6
2019-01-12T02:00+01:00,932.3,283.6,10928.5,262,361.4,16528.4
2019-01-12T03:00+01:00,928.5,284.8,10182.7,312.8,409.3,16539.5
2019-01-12T04:00+01:00,927.8,286.7,10560.5,225.1,354.4,16617.6
2019-01-12T05:00+01:00,925.9,285.7,10455.6,222,367.1,16866.3
2019-01-12T06:00+01:00,924.8,289.1,10683.4,213.5,355.1,17224.8
2019-01-12T07:00+01:00,926.1,294.3,11996,240.3,335.4,17802.3
2019-01-12T08:00+01:00,922.9,289,13363.5,114.9,316.6,18526.1
2019-01-12T09:00+01:00,918.9,287.3,15086.5,101.7,332.4,19240.4
2019-01-12T10:00+01:00,915.5,287.4,15524,50.6,308.6,19566.5
2019-01-12T11:00+01:00,908.6,284.8,15457.9,32.9,306.5,19652
2019-01-12T12:00+01:00,910.7,287.6,15268,32.8,289.9,19435.6
2019-01-12T13:00+01:00,909.4,286.8,14858.9,35.8,316.1,19173.9
2019-01-12T14:00+01:00,917.1,284.5,14931.3,39.6,304.3,19038.2
2019-01-12T15:00+01:00,917.5,288.9,15807.5,33.6,323.2,19191.3
2019-01-12T16:00+01:00,917.1,287.5,17121.1,29.3,305.9,19616.4
2019-01-12T17:00+01:00,917.5,285.4,18327.1,32.7,249.2,19811.1
2019-01-12T18:00+01:00,915.8,282.4,17224.8,30.4,228.8,19613.4
2019-01-12T19:00+01:00,914.6,283.8,15957.3,31.4,204.6,19436.9
2019-01-12T20:00+01:00,913.3,286.9,14632,32.4,176.4,18977.2
2019-01-12T21:00+01:00,910.1,288.1,14361,34.5,183.1,18490.6
2019-01-12T22:00+01:00,908.3,292,13293.2,34.8,174.1,18000.2
2019-01-12T23:00+01:00,906.8,293.7,12420.7,44.9,204,17589.8
2019-01-13T00:00+01:00,888.5,284.5,12918.3,87,338.4,17204.2
2019-01-13T01:00+01:00,888,292.7,12259.5,123.7,427.1,16922.4
2019-01-13T02:00+01:00,889.7,294.8,11500.4,146.1,459,16638.5
2019-01-13T03:00+01:00,891.6,290.4,11248.8,169.5,537,16524.5
2019-01-13T04:00+01:00,892.2,289.7,10841.6,177.1,628.2,16606.9
2019-01-13T05:00+01:00,894.2,286.6,10770.5,167.3,606.7,16759.6
2019-01-13T06:00+01:00,898.9,288.3,10682.6,229.6,604.9,17128.8
2019-01-13T07:00+01:00,902.5,289.8,11078.3,140,623.2,17095.7
2019-01-13T08:00+01:00,904.5,290,11617.8,105.5,688.7,17435.8
2019-01-13T09:00+01:00,906.9,286.6,11868.4,120.8,745.9,17882.8
2019-01-13T10:00+01:00,909.2,288.6,12873.6,127.9,740.3,18535.3
2019-01-13T11:00+01:00,904.3,290.5,13608.4,221.8,840.7,19001.1
2019-01-13T12:00+01:00,907,290.5,13499.6,234.1,824,18922.7
2019-01-13T13:00+01:00,908,296.2,13006.8,263,817.6,18734
2019-01-13T14:00+01:00,905.8,291.4,12455.6,272.4,802,18817.8
2019-01-13T15:00+01:00,904.4,303.8,13323.4,296.8,825.1,19074
2019-01-13T16:00+01:00,905.6,307.5,14903.7,284,790.3,19587.6
2019-01-13T17:00+01:00,902.2,316.6,14791.6,238.8,809,19767
2019-01-13T18:00+01:00,898.1,314.5,14277.8,117.4,821.4,19429.5
2019-01-13T19:00+01:00,895.3,315.5,14002.2,104.2,881.9,19431
2019-01-13T20:00+01:00,892.7,315.9,12874.9,135.6,862.6,19119.7
2019-01-13T21:00+01:00,890.4,316.9,12082,189.3,869.6,19014.2
2019-01-13T22:00+01:00,886.7,326.5,11733.9,340.1,852.1,18853.8
2019-01-13T23:00+01:00,881.1,324.4,11863,287.9,865.6,18269.8
2019-01-14T00:00+01:00,878.4,343.1,11173.7,345.8,873.4,17774.6
2019-01-14T01:00+01:00,874.4,338.7,11159.2,355.3,868,17681.4
2019-01-14T02:00+01:00,876.1,341,11201.7,246.4,853.7,17575.9
2019-01-14T03:00+01:00,877.4,340.1,10868.9,273.1,761.9,17522
2019-01-14T04:00+01:00,880.1,341.3,10805.1,241.6,691.5,17600.5
2019-01-14T05:00+01:00,878,339.6,11981.9,272.5,661.3,18044.6
2019-01-14T06:00+01:00,881.4,342.6,13891,260.3,778.1,19815.6
2019-01-14T07:00+01:00,890.2,342.4,17761,327.5,785.1,21603.2
2019-01-14T08:00+01:00,894.2,345,18403.2,342.2,788.5,22056.6
2019-01-14T09:00+01:00,901.9,340.6,17489.2,252.6,801.2,21813.7
2019-01-14T10:00+01:00,907.2,340.8,17108.6,321.4,806.7,21692.8
2019-01-14T11:00+01:00,910.6,335.7,16397.2,350.8,792.5,21395.5
2019-01-14T12:00+01:00,906.9,338.2,15522.8,353.6,810.3,21130.8
2019-01-14T13:00+01:00,904.8,333,14870.4,301.6,796.2,20742
2019-01-14T14:00+01:00,905.2,334.7,14482.5,305.9,777,20649.3
2019-01-14T15:00+01:00,904.9,324.4,15342.1,307.4,794.2,20799.6
2019-01-14T16:00+01:00,908.9,335.2,17281.8,249,761.3,21369.3
2019-01-14T17:00+01:00,907.9,332.5,17896,253.4,732,21361.5
2019-01-14T18:00+01:00,905.7,328.5,17558.8,311.7,721,21172.1
2019-01-14T19:00+01:00,904.7,331.8,16712.2,212.9,692.8,20895.5
2019-01-14T20:00+01:00,903.4,335.2,15920.8,345.2,605.8,20544.2
2019-01-14T21:00+01:00,901.6,342.3,14862.2,226.8,510.6,19989.6
2019-01-14T22:00+01:00,901,350.1,13988.1,371.3,530.6,19557.8
2019-01-14T23:00+01:00,899.8,353.5,12738.5,338.4,376.9,18709.5
2019-01-15T00:00+01:00,866.2,350.9,12288.3,307.3,463.1,18235.1
2019-01-15T01:00+01:00,864.4,354.4,11463.1,232.7,399.8,17751
2019-01-15T02:00+01:00,865.1,354.5,11281.6,262.9,310.4,17619
2019-01-15T03:00+01:00,864,357.4,10966,228.8,164.6,17522.3
2019-01-15T04:00+01:00,862.9,355.6,11168.7,170.3,155.3,17795.5
2019-01-15T05:00+01:00,862.9,352.2,12682.4,191.8,240.5,18528
2019-01-15T06:00+01:00,866.2,352.3,16255.1,237.1,226.9,20063.8
2019-01-15T07:00+01:00,872,356,20392,102.8,227.6,21536.6
2019-01-15T08:00+01:00,897.8,355.2,22309.7,77.1,226.3,21873
2019-01-15T09:00+01:00,895.5,351.6,22536,43.6,171.2,21413.1
